classname , numberOfVersionsUntil, numberOfFixesUntil, numberOfRefactoringsUntil, numberOfAuthorsUntil, linesAddedUntil, maxLinesAddedUntil, avgLinesAddedUntil, linesRemovedUntil, maxLinesRemovedUntil, avgLinesRemovedUntil, codeChurnUntil:, maxCodeChurnUntil, avgCodeChurnUntil, ageWithRespectTo, weightedAgeWithRespectTo, bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , 
org::eclipse::mylyn::internal::tasks::core::TaskComment ,6,0,0,2,14,4,2.33333,11,4,1.83333,3,3,0.5,45.2857,8,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ,8,0,0,2,22,8,2.75,19,8,2.375,3,4,0.375,46.5714,8.61688,0,0,0,0,0, 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ,3,0,0,1,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ,4,0,0,1,2,2,0.5,34,32,8.5,-32,0,-8,118.857,26.2857,0,0,0,0,0, 
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener ,11,0,2,3,78,14,7.09091,63,14,5.72727,15,12,1.36364,90.7143,23.4853,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory ,21,0,0,3,112,58,5.33333,109,58,5.19048,3,58,0.142857,103,23.6952,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler ,3,0,0,1,5,4,1.66667,2,1,0.666667,3,3,1,43,16.4571,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage ,32,0,2,3,103,23,3.21875,71,9,2.21875,32,21,1,139.571,58.4175,0,0,0,0,0, 
org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction ,10,0,0,2,155,102,15.5,154,104,15.4,1,102,0.1,43,3.29217,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken ,5,1,0,2,7,4,1.4,6,4,1.2,1,1,0.2,32.7143,9.55102,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter ,6,0,1,3,7,4,1.16667,7,3,1.16667,0,3,0,47.4286,18.7755,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextStructureBridge ,2,0,0,1,1,1,0.5,5,5,2.5,-4,0,-2,8,7,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::util::css::CssParser ,3,1,1,1,21,16,7,11,9,3.66667,10,7,3.33333,7.42857,1.65986,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider ,26,0,0,3,147,45,5.65385,109,43,4.19231,38,21,1.46154,139.571,28.2323,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper ,5,0,0,2,35,15,7,14,9,2.8,21,14,4.2,13.5714,4.30612,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPeoplePart ,10,1,0,3,133,90,13.3,21,5,2.1,112,89,11.2,42,2.67025,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::bugs::TasksBugsPlugin ,13,0,0,2,99,43,7.61538,55,42,4.23077,44,42,3.38462,47.5714,8.95094,0,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::tasks::tests::connector::MockTask ,4,0,0,2,6,4,1.5,3,1,0.75,3,3,0.75,49.8571,23.119,0,0,0,0,0, 
org::eclipse::mylyn::internal::commons::ui::NotificationPopupColors ,3,0,0,1,7,5,2.33333,3,2,1,4,4,1.33333,45.8571,26.102,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssSessionCallback ,7,0,0,2,28,8,4,22,8,3.14286,6,5,0.857143,54,24.7653,1,1,0,0,0, 
org::eclipse::mylyn::zest::tests::swt::LayoutExample ,2,0,0,1,2,2,1,2,2,1,0,0,0,80.5714,0,0,0,0,0,0, 
org::xplanner::soap::XPlanner::XPlannerHttpSender ,7,2,0,3,25,11,3.57143,11,4,1.57143,14,7,2,88,44.3086,0,0,0,0,0, 
org::eclipse::mylyn::internal::pde::ui::Messages ,3,0,0,1,31,31,10.3333,31,31,10.3333,0,31,0,19.1429,5.14286,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSeveritySearchSorter ,7,0,0,2,15,6,2.14286,17,8,2.42857,-2,3,-0.285714,148.571,82.3333,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityLabelProvider ,7,0,1,3,11,4,1.57143,8,2,1.14286,3,3,0.428571,44.7143,11.1299,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::sync::SynchronizeRepositoriesJob ,23,0,0,3,121,27,5.26087,71,15,3.08696,50,21,2.17391,48.7143,15.2243,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::util::OutlineItemAdapterFactory ,1,0,0,1,0,0,0,0,0,0,0,0,0,8.57143,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::textile::core::token::FootnoteReferenceReplacementToken ,6,0,0,2,35,19,5.83333,19,11,3.16667,16,8,2.66667,32.7143,18.6735,0,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::ui::XPlannerClientFacade ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,1,1,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::dialogs::UiLegendControl ,4,0,0,2,68,63,17,67,65,16.75,1,3,0.25,39.5714,24.3761,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::bugs::TaskContributorManager ,15,0,0,2,74,33,4.93333,40,9,2.66667,34,24,2.26667,47.5714,13.7529,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::confluence::core::Main ,3,0,0,1,3,2,1,4,4,1.33333,-1,1,-0.333333,32.7143,1.71429,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::sync::Messages ,2,1,0,1,0,0,0,2,2,1,-2,0,-1,14.7143,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::core::TracWikiHandler ,13,0,0,2,88,40,6.76923,30,11,2.30769,58,40,4.46154,84.7143,19.0731,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler ,15,0,0,3,495,112,33,310,156,20.6667,185,61,12.3333,148.571,75.0346,1,0,0,0,1, 
org::eclipse::mylyn::internal::team::ccvs::CvsCommitWorkflowProvider ,4,0,0,1,4,3,1,4,3,1,0,0,0,118.857,19.7143,0,0,0,0,0, 
org::eclipse::mylyn::examples::monitor::study::SubmitFeedbackPage ,12,0,4,2,45,20,3.75,37,12,3.08333,8,8,0.666667,109.857,44.1079,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchJob ,5,0,0,2,6,4,1.2,3,1,0.6,3,3,0.6,88,54.5952,0,0,0,0,0, 
org::eclipse::mylyn::context::core::InterestComparator ,8,0,0,2,23,7,2.875,21,9,2.625,2,3,0.25,139.714,66.1242,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::ui::ContextEditorManager ,14,0,0,2,215,108,15.3571,156,60,11.1429,59,94,4.21429,47.4286,6.12691,1,1,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::TaskHyperlink ,4,0,0,2,10,5,2.5,6,4,1.5,4,4,1,39.8571,19.7857,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimplePhraseModifier ,3,0,0,2,5,3,1.66667,5,3,1.66667,0,0,0,32.7143,6.05714,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityContentProvider ,5,0,0,2,17,9,3.4,13,8,2.6,4,3,0.8,46,7.95798,0,0,0,0,0, 
org::eclipse::mylyn::internal::monitor::ui::CheckActivityJob ,5,0,3,1,139,131,27.8,134,131,26.8,5,131,1,22.7143,0.219938,0,0,0,0,0, 
org::eclipse::mylyn::tasks::ui::TaskHyperlinkPresenter ,2,0,0,1,0,0,0,5,5,2.5,-5,0,-2.5,18,0,1,1,0,0,0, 
org::eclipse::mylyn::internal::trac::core::TracClientFactory ,13,0,0,2,40,10,3.07692,39,15,3,1,5,0.0769231,133,59.9536,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::ChangeActivityHandleOperation ,4,0,0,3,6,4,1.5,3,1,0.75,3,3,0.75,27.8571,6.19048,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::AbstractTask ,34,0,1,3,208,83,6.11765,300,106,8.82353,-92,71,-2.70588,45.1429,6.77816,0,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::ui::wizard::NewXPlannerTaskPage ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,2,2,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::viewer::TextHover ,3,1,0,2,14,13,4.66667,14,13,4.66667,0,0,0,32.7143,2.17347,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::TaskListSynchronizationScheduler ,22,0,0,3,142,50,6.45455,186,115,8.45454,-44,13,-2,133.571,66.2012,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::viewer::ImageManager ,5,1,0,1,149,127,29.8,19,11,3.8,130,127,26,24.7143,9.25312,1,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugSubmissionHandler ,14,0,0,2,111,37,7.92857,96,24,6.85714,15,13,1.07143,133.571,7.74517,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::ui::WebHyperlink ,6,0,0,3,19,9,3.16667,13,9,2.16667,6,4,1,105.571,74.3684,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotificationReminder ,9,0,0,2,17,4,1.88889,25,16,2.77778,-8,3,-0.888889,66.8571,26.3193,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::util::Messages ,2,0,0,1,1,1,0.5,1,1,0.5,0,0,0,19.8571,2,0,0,0,0,0, 
org::eclipse::mylyn::tasks::ui::editors::TaskEditor ,148,3,5,3,1921,340,12.9797,1555,335,10.5068,366,130,2.47297,118.714,53.4594,8,5,0,0,1, 
org::eclipse::mylyn::internal::tasks::core::TaskExternalizationException ,4,0,0,2,8,6,2,6,4,1.5,2,5,0.5,90.4286,58.125,0,0,0,0,0, 
org::eclipse::mylyn::monitor::core::AbstractMonitorLog ,16,0,2,3,45,8,2.8125,35,5,2.1875,10,4,0.625,109.857,48.0794,0,0,0,0,0, 
org::eclipse::mylyn::internal::provisional::commons::ui::CommonThemes ,3,0,0,2,14,10,4.66667,11,10,3.66667,3,3,1,45.8571,27.6531,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::AbstractTaskAction ,13,0,0,3,47,13,3.61538,43,11,3.30769,4,3,0.307692,91.8571,36.7234,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::wiki::TracWikiPageHistoryPageSource ,3,0,0,2,5,4,1.66667,2,1,0.666667,3,3,1,81.8571,58.8,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::outline::OutlineParser ,14,1,0,2,104,38,7.42857,51,21,3.64286,53,17,3.78571,32.7143,11.4258,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::twiki::core::block::ListBlock ,2,0,0,1,6,6,3,6,6,3,0,0,0,23.8571,4,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::ui::HighlighterImageDescriptor ,6,0,0,2,22,8,3.66667,22,8,3.66667,0,4,0,139.714,83.948,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::TaskSelectionDialog ,52,0,0,3,1225,388,23.5577,755,373,14.5192,470,250,9.03846,136.571,76.8238,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteSecurityLevel ,1,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::NewQueryAction ,20,0,2,3,124,47,6.2,49,11,2.45,75,45,3.75,139.571,69.841,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::JiraTaskDataHandler ,6,0,0,3,59,26,9.83333,133,86,22.1667,-74,10,-12.3333,114.571,2.39709,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::ui::TracImages ,9,0,0,2,19,5,2.11111,16,5,1.77778,3,4,0.333333,95.5714,59.2406,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::LocalTask ,13,0,0,3,29,6,2.23077,21,4,1.61538,8,5,0.615385,91.8571,16.9212,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::wizards::TaskDataImportWizard ,45,0,2,3,460,92,10.2222,694,278,15.4222,-234,41,-5.2,139.571,67.8391,0,0,0,0,0, 
org::eclipse::mylyn::tasks::core::sync::SubmitJob ,12,0,0,2,65,25,5.41667,25,13,2.08333,40,25,3.33333,46.1429,5.15824,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::OpenRepositoryTaskJob ,32,0,0,3,250,77,7.8125,268,73,8.375,-18,69,-0.5625,120.143,65.3257,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::ui::annotation::TitleAnnotation ,5,1,0,2,7,4,1.4,6,4,1.2,1,1,0.2,32.7143,9.55102,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::ui::BrowseFilteredListener ,21,0,0,2,222,55,10.5714,171,33,8.14286,51,28,2.42857,139.714,55.9492,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::history::Messages ,1,0,0,1,0,0,0,0,0,0,0,0,0,13.1429,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::twiki::core::token::ImpliedEmailLinkReplacementToken ,4,1,0,1,13,10,3.25,3,2,0.75,10,10,2.5,23.8571,13.5494,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaCcAttributeEditor ,4,0,0,2,8,4,2,4,2,1,4,3,1,41.2857,7.96429,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::hyperlinks::AbstractResourceHyperlinkExtension ,3,0,0,2,5,4,1.66667,2,1,0.666667,3,3,1,33.8571,7.31429,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::core::InteractionContextRelation ,9,0,0,2,20,5,2.22222,20,5,2.22222,0,3,0,94.2857,34.0357,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::commands::NewSubTaskHandler ,4,0,0,2,5,4,1.25,3,1,0.75,2,3,0.5,49,25.9429,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::HyperlinkInternalReplacementToken ,3,0,0,2,8,4,2.66667,8,4,2.66667,0,0,0,32.7143,7.28571,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::Comment ,11,0,0,2,55,28,5,37,22,3.36364,18,11,1.63636,110.714,71.3351,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::actions::LinkActiveSearchWithEditorAction ,8,0,0,2,13,4,1.625,9,4,1.125,4,3,0.5,48.8571,11.4725,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::dialogs::TaskListSortDialog ,7,1,0,3,53,29,7.57143,277,251,39.5714,-224,14,-32,44.7143,27.5337,0,0,0,0,0, 
org::eclipse::mylyn::examples::monitor::study::MylynUserStudyExamplePlugin ,7,0,0,2,43,27,6.14286,33,24,4.71429,10,4,1.42857,88,35.0266,0,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerRepositorySettingsPage ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,1,1,0,0,0, 
org::eclipse::mylyn::zest::core::viewers::internal::GraphItemStyler ,9,0,1,1,96,48,10.6667,84,48,9.33333,12,5,1.33333,103.714,3.6994,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaKeywordAttributeEditor ,5,0,0,2,23,11,4.6,3,1,0.6,20,10,4,42,4.0559,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::markup::Processor ,5,1,0,2,24,14,4.8,7,5,1.4,17,13,3.4,32.7143,18.119,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::commands::TaskListToolTipHandler ,4,0,0,2,6,4,1.5,3,1,0.75,3,3,0.75,44,24.119,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::util::HyperlinkDetectorDelegate ,1,0,1,1,0,0,0,0,0,0,0,0,0,3.85714,0,0,0,0,0,0, 
org::eclipse::mylyn::tasks::core::data::AbstractTaskAttachmentSource ,4,0,0,2,7,4,1.75,2,1,0.5,5,3,1.25,45.8571,18.2857,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::wizard::WizardAttributesPage ,4,0,1,2,10,10,2.5,2,2,0.5,8,8,2,164,6.85714,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::core::parser::builder::Messages ,2,0,0,1,1,1,0.5,1,1,0.5,0,0,0,19.8571,2,0,0,0,0,0, 
org::eclipse::mylyn::context::ui::AbstractAutoFocusViewAction ,23,0,0,3,92,20,4,94,48,4.08696,-2,7,-0.0869565,91,30.3292,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::TWikiMarkupTaskEditorExtension ,2,0,0,1,2,2,1,2,2,1,0,0,0,14.7143,7.57143,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaHyperLink ,12,0,0,2,13,2,1.08333,14,2,1.16667,-1,0,-0.0833333,154.143,30.5824,0,0,0,0,0, 
org::eclipse::mylyn::context::ui::AbstractFocusViewAction ,40,0,0,2,397,63,9.925,234,28,5.85,163,63,4.075,91,38.4887,1,0,0,0,1, 
org::eclipse::mylyn::internal::java::ui::InterestUpdateDeltaListener ,14,0,1,2,54,18,3.85714,40,7,2.85714,14,13,1,92.4286,25.8492,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::AddExistingTaskJob ,51,1,3,3,187,59,3.66667,172,41,3.37255,15,18,0.294118,120.571,53.1199,1,1,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaVersion ,4,0,0,2,27,16,6.75,5,2,1.25,22,14,5.5,6.71429,2.56614,1,1,0,0,0, 
org::eclipse::mylyn::internal::trac::ui::editor::TracTaskEditorPage ,4,0,0,2,7,4,1.75,4,2,1,3,3,0.75,39.5714,14.449,1,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteProjectRole ,9,0,0,2,189,162,21,206,179,22.8889,-17,7,-1.88889,110.714,24.5745,0,0,0,0,0, 
org::eclipse::mylyn::context::tests::support::ResourceHelper ,9,0,2,2,23,11,2.55556,18,6,2,5,5,0.555556,131.714,58.3975,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::editors::EditorBusyIndicator ,9,0,0,2,86,67,9.55556,126,119,14,-40,7,-4.44444,90.4286,25.6213,0,0,0,0,0, 
org::eclipse::mylyn::internal::team::ui::actions::ApplyPatchAction ,29,0,0,3,318,47,10.9655,341,47,11.7586,-23,18,-0.793103,122.857,18.9618,0,0,0,0,0, 
org::eclipse::mylyn::tasks::ui::editors::BrowserFormPage ,8,0,0,2,43,24,5.375,12,5,1.5,31,19,3.875,50.5714,18.6213,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::views::ActiveSearchQuickView ,6,0,0,2,8,5,1.33333,6,2,1,2,3,0.333333,48.8571,19.125,0,0,0,0,0, 
org::eclipse::mylyn::zest::core::viewers::AbstractZoomableViewer ,1,0,1,1,0,0,0,0,0,0,0,0,0,103.714,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::core::parser::builder::SplittingMarkupToEclipseToc ,4,1,0,2,6,4,1.5,2,1,0.5,4,4,1,32.7143,19.0476,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::deprecated::AbstractRepositoryQueryWizard ,6,0,0,2,8,4,1.33333,9,5,1.5,-1,3,-0.166667,44.5714,10.0357,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::bugs::wizards::ReportErrorWizard ,11,0,0,2,31,17,2.81818,20,10,1.81818,11,7,1,42.8571,8.88479,0,0,0,0,0, 
org::eclipse::mylyn::internal::web::ui::WebResource ,5,0,0,2,22,16,4.4,23,17,4.6,-1,3,-0.2,92.4286,17.539,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::workingsets::WorkingSetLabelComparator ,3,0,0,2,5,4,1.66667,3,2,1,2,2,0.666667,55.5714,29.0286,0,0,0,0,0, 
org::eclipse::mylyn::tasks::core::sync::SubmitJobEvent ,5,0,0,2,14,8,2.8,2,1,0.4,12,8,2.4,46.1429,12.4184,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::util::AttachmentUtil ,10,0,0,2,78,39,7.8,244,71,24.4,-166,18,-16.6,39.5714,9.99817,1,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::markup::phrase::HtmlStartTagPhraseModifier ,7,1,0,2,26,11,3.71429,5,2,0.714286,21,10,3,32.7143,13.5549,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::LinkType ,6,0,0,1,9,5,1.5,8,4,1.33333,1,4,0.166667,110.714,62.9365,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryCompletionProcessor ,21,1,0,3,309,217,14.7143,140,74,6.66667,169,143,8.04762,53.7143,3.23347,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetUpdater ,37,0,1,3,395,94,10.6757,186,47,5.02703,209,92,5.64865,91.2857,16.9031,1,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::editor::help::Messages ,2,0,0,1,1,1,0.5,1,1,0.5,0,0,0,19.8571,2,1,0,0,0,0, 
org::eclipse::mylyn::internal::web::ui::WebResourceUiBridge ,18,0,0,2,55,12,3.05556,61,9,3.38889,-6,8,-0.333333,145.857,46.3273,0,0,0,0,0, 
org::eclipse::mylyn::internal::web::tasks::WebRepositoryConnector ,61,3,0,4,628,122,10.2951,473,152,7.7541,155,31,2.54098,92.4286,33.4472,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::AutomaticRepositoryTaskContainer ,4,0,0,2,7,4,1.75,4,2,1,3,3,0.75,37,16.3265,0,0,0,0,0, 
org::eclipse::mylyn::tasks::ui::wizards::RepositoryQueryWizard ,8,0,0,3,27,13,3.375,16,5,2,11,9,1.375,44.5714,9.59788,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::textile::core::block::QuoteBlock ,3,0,0,2,18,16,6,12,10,4,6,6,2,32.7143,2.95238,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::RepositoryPerson ,4,0,0,2,6,4,1.5,3,1,0.75,3,3,0.75,45.2857,23.619,0,0,0,0,0, 
org::eclipse::mylyn::internal::team::ui::properties::TeamPropertiesLinkProvider ,8,0,0,3,18,5,2.25,11,3,1.375,7,4,0.875,71.7143,33.2063,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::UnmatchedTaskContainer ,10,0,0,2,21,8,2.1,63,36,6.3,-42,3,-4.2,60,27.1292,0,0,0,0,0, 
org::eclipse::mylyn::internal::ide::ui::IdeUiBridgePlugin ,15,0,0,2,76,24,5.06667,102,49,6.8,-26,23,-1.73333,92.4286,37.782,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::MarkupDamagerRepairer ,2,0,0,1,3,3,1.5,3,3,1.5,0,0,0,32.7143,1.71429,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::core::InteractionContextExternalizer ,27,1,1,3,241,45,8.92593,172,26,6.37037,69,43,2.55556,94.2857,46.0213,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::TaskAttachment ,6,0,0,2,16,6,2.66667,13,6,2.16667,3,3,0.5,45.2857,7,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteIssue ,8,0,0,2,774,734,96.75,876,836,109.5,-102,7,-12.75,110.714,21.4956,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::GroupSubTasksAction ,8,0,0,2,36,12,4.5,33,10,4.125,3,2,0.375,78.8571,32.2937,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::ui::commands::CopyContextHandler ,7,0,0,2,26,13,3.71429,34,18,4.85714,-8,3,-1.14286,43.8571,11.1319,0,0,0,0,0, 
org::eclipse::mylyn::tasks::core::data::TaskData ,13,0,0,2,51,18,3.92308,33,16,2.53846,18,15,1.38462,47.1429,14.2465,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::bugs::PluginRepositoryMappingManager ,9,0,0,2,96,51,10.6667,61,22,6.77778,35,29,3.88889,47.5714,16.8557,0,0,0,0,0, 
